P1| Chapter 20: I Shall Live Forever—and Ever—and Ever!
P59| "That is the garden where Ben Weatherstaff works," Mary said.
P60| "Is it?" Colin said.
P61| After a few more yards, Mary whispered again.
P62| "This is where the robin flew over the wall," she said.
P63| "Is it?" Colin cried. "Oh, I wish he would come again!"
P64| "And that," Mary said with quiet delight, pointing under a large lilac bush, "is where he perched on the small pile of dirt and showed me the key."
P65| Then Colin sat up.
P66| "Where? Where? There?" he cried, his eyes growing as wide as the wolf's in Little Red Riding Hood. Dickon stood still, and the wheelchair stopped.
P67| "And this," Mary said, stepping onto the garden bed close to the ivy, "is where I went to talk to him when he chirped at me from the top of the wall. And this is the ivy the wind blew back." She took hold of the hanging green curtain.
P68| "Oh! Is it? Is it?" Colin gasped.
P69| "And here is the handle, and here is the door. Dickon, push him in—push him in quickly!"
P70| And Dickon did it with one strong, steady, magnificent push.
P71| Colin fell back against his cushions, gasping with delight. He covered his eyes with his hands and kept them there, shutting out everything until they were inside. The wheelchair stopped as if by magic, and the door was closed. Only then did he lower his hands and look around and around, just as Dickon and Mary had once done. A delicate green veil of young leaves had crept over the walls, the earth, the trees, and the swinging vines. In the grass under the trees, inside the gray urns in the alcoves, and scattered everywhere were splashes of gold, purple, and white. The trees above his head showed pink and snowy blossoms. There was a fluttering of wings, faint sweet bird calls, humming bees, and rich scents everywhere. The sun fell warm upon his face like a gentle hand. In wonder, Mary and Dickon stood and stared at him. He looked completely different because a healthy pink glow had spread all over him—across his pale face, his neck, and his hands.
P72| "I will get well! I will get well!" he cried. "Mary! Dickon! I will get well! And I will live forever and ever and ever!"
